--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.000  000.000: --- NVIM STARTING ---
000.097  000.096: event init
000.236  000.139: early init
000.517  000.281: locale set
000.546  000.029: init first window
000.929  000.382: inits 1
000.945  000.017: window checked
001.004  000.058: parsing arguments
001.519  000.040  000.040: require('vim.shared')
001.605  000.035  000.035: require('vim.inspect')
001.649  000.032  000.032: require('vim._options')
001.651  000.128  000.060: require('vim._editor')
001.653  000.210  000.043: require('vim._init_packages')
001.655  000.442: init lua interpreter
003.667  002.012: expanding arguments
003.679  000.012: inits 2
003.978  000.299: init highlight
003.996  000.018: clear screen
004.121  000.020  000.020: require('vim.keymap')
005.141  000.151  000.151: sourcing nvim_exec2()
005.264  001.265  001.095: require('vim._defaults')
005.266  000.005: init default mappings & autocommands
005.812  000.050  000.050: sourcing /opt/homebrew/Cellar/neovim/0.11.0/share/nvim/runtime/ftplugin.vim
005.898  000.027  000.027: sourcing /opt/homebrew/Cellar/neovim/0.11.0/share/nvim/runtime/indent.vim
007.129  001.045  001.045: require('keymaps')
008.028  000.607  000.607: require('lazy')
008.052  000.013  000.013: require('ffi')
008.098  000.027  000.027: require('vim.fs')
008.270  000.170  000.170: require('vim.uri')
008.282  000.228  000.031: require('vim.loader')
008.452  000.154  000.154: require('lazy.stats')
008.610  000.120  000.120: require('lazy.core.util')
008.746  000.134  000.134: require('lazy.core.config')
008.966  000.098  000.098: require('lazy.core.handler')
009.392  000.204  000.204: require('lazy.pkg')
009.396  000.322  000.118: require('lazy.core.meta')
009.418  000.450  000.128: require('lazy.core.plugin')
009.425  000.677  000.128: require('lazy.core.loader')
010.538  000.135  000.135: require('lazy.async')
011.012  000.268  000.268: require('lazy.manage.process')
011.188  000.174  000.174: require('lazy.terminal')
011.193  000.654  000.212: require('lazy.manage.task')
011.196  000.938  000.149: require('lazy.manage.runner')
011.199  001.140  000.202: require('lazy.manage')
011.202  001.281  000.141: require('lazy.view.commands')
011.382  000.164  000.164: require('lazy.core.fragments')
013.095  000.099  000.099: require('lazy.core.handler.cmd')
